,sac_number,prop_add,building_type,building_name,village,num_flat,region,num_shops,wing_name,prabhag_no,ward_name_field,updated_by,update_time,device_ip,address,validity
158,KW1513994290000,"
C/O VIJAY ASSOCIATS,WATER FIELD RD,BANDRA WESTMUMBAI 400050",C,M/S BABULAL N MEHTA ,VILLAGE OSHIWARA,,,,,061,K/W,,,,,False
159,KW1513995420000,"
112/114 BHANDARI STREET &,153/167 SHERIFF DEOJI STREE,T, CHAKALA, MUMBAI'3.",C,MAHARASHTRA DRUG-CHEM ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(B-68),CTS-580,PL.N.41(PT),PL.N.B-68,OSHIWARA VILLAGE,NEW LINK RD RCC BLDG AS OFFICES CRESENT CENTRE",False
160,KW1513980740000,",BLDG NO 7 PLOT NO H-66,MHADA RESIDENTIAL COMPLEX,OSHIWARA ANDHERI WESTMUMBAI 400058",nR,OSHIWARA AVLON CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (H-66) F-605   PLOT NO 66 VILLAGE OSHIWARA HOUSE BLDG NO- 07,False
161,KW1511840910000,",CHS LTD  NEW LINK RD,VILLAGE OSHIWARA,JOGESHWARI,(W) MUMBAI 400102",nR,THE SECY EVERSHINES GREEN ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5359 (3)/S-01) CTS NO 96 TO 100,113 TO 118,121 (PART) VILLAGE OSHIWARA  NEW LINK RD JOGESHWARI(W) HOUSE WITH SHOPS CAUSARINA`A'WING SHOP 001",False
162,KW1513978410000,",PLOT NO H 25,OSHIWARA MHADA RESIDENTIAL,COMPLEX ANDHERI WESTMUMBAI 400058",nR,LINKWAY CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (H-35)F-501 PLOT NO 35 OSHIWARA VILLAGE HOUSE BLDG NO 25,False
163,KW1513979220000,",BLDG NO 17 H-52,MHADA RESIDENTIAL COMPLEX,OSHIWARA  MHADAANDHERI WESTMUMBAI 400058",nR,GREEN VIEW CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,,False
164,KW1513979490000,",BLDG NO 19 PLOT NO H-54,MHADA RESIDENTIAL COPMLEX,OSHIWARA ANDHERI WESTMUMBAI 400058",nR,WELFARE COMMITTEE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,,False
165,KW1513980310000,",BLDG NO 5 PLOT NO H-62A,MHADA RESIDENTIAL COMPLEX,OSHIWARA ANDHERI ",nR,ASTER CHS LTD. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,,False
166,KW1513980580000,",BLDG NO 9 PLOT NO H-64,MHADA RESIDENTIAL COMPLEX,ANDHERI (W) MUMBAI 58",nR,OSHIWARA INDUS CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5611 (H-64/F101)    PLOT NO 64 VILLAGE OSHIWARA HOUSE BLDG NO 9, OSHIWARA INDUS. CHS LTD  FLAT NO 101",False
167,KW1513980660000," SEC BLUE BELL CHS ,,01135136,BLDG NO 8 PLOT NO H-65 MHADA RESIDENTIAL COMPLEXOSHIWARA ANDHERI ",nR,OSHIWARABLUE BELLCHSL,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611[H-65/403],OSHIWARA BLUE BELL CHSL,PLOT NO65, VILLAGE OSHIWARA,,,ANDHERI WEST,HOUSE BLUE BELL CHSL.",False
168,KW1513990430000,,demo,demo,d,2,demo,2,demo,061,K/W,,,,d,False
169,KW1514127430000,",SOCIETY BLDG B,NEW LINK ROAD EXTN. BEHIND,TARAPORE GARDEN OSHIWARAANDHERI (W) MUMBAI 400053",R,SECY SHANTIVAN CO-OP HSG,VILLAGE OSHIWARA,2,dummy,30,A,061,K/W,,,,",SOCIETY BLDG B,NEW LINK ROAD EXTN. BEHIND,TARAPORE GARDEN OSHIWARAANDHERI (W) MUMBAI 400053",False
170,KW1604600170000,,null,demo,null,,null,,null,061,K/W,,,,null,False
171,KW1514366000000,"
C/O SHRI RAJENDRA SING,SEC HINDI VIDYA PRACHAR,SAMITI HINDI HIGH SCHOOLLAXMINARAYAN MANDIR MARGGHATKOPER [W] MUMBAI 86",Mixed Legend,Goenka School,VILLAGE OSHIWARA,,dummy,,null,061,K/W,,,,"C/O SHRI RAJENDRA SING,SEC HINDI VIDYA PRACHAR,SAMITI HINDI HIGH SCHOOLLAXMINARAYAN MANDIR MARGGHATKOPER [W] MUMBAI 86",False
172,KW1510651480000,,null,Blue Haven dummy,null,,null,,null,061,K/W,,,,null,False
173,KW1604080070000,,null,Dummy,null,,null,,null,061,K/W,,,,null,False
174,KW1513985110000,,null,Dummy,null,,null,,null,061,K/W,,,,null,False
